wav,sample_id,model,speaker,model-speaker,text_prompt_id,text_prompt,zero_based_text_prompt_id,corpus
vits-p272_0_sample_0.wav,0,vits,p272,vits-p272,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p272_0_sample_1.wav,1,vits,p272,vits-p272,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p272_0_sample_2.wav,2,vits,p272,vits-p272,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p272_1_sample_0.wav,0,vits,p272,vits-p272,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p272_1_sample_1.wav,1,vits,p272,vits-p272,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p272_1_sample_2.wav,2,vits,p272,vits-p272,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p272_2_sample_0.wav,0,vits,p272,vits-p272,329,"He would say good night, but not good bye.",2,libritts
vits-p272_2_sample_1.wav,1,vits,p272,vits-p272,329,"He would say good night, but not good bye.",2,libritts
vits-p272_2_sample_2.wav,2,vits,p272,vits-p272,329,"He would say good night, but not good bye.",2,libritts
vits-p272_3_sample_0.wav,0,vits,p272,vits-p272,811,I haven't seen you around for a few days.,3,dailydialog
vits-p272_3_sample_1.wav,1,vits,p272,vits-p272,811,I haven't seen you around for a few days.,3,dailydialog
vits-p272_3_sample_2.wav,2,vits,p272,vits-p272,811,I haven't seen you around for a few days.,3,dailydialog
vits-p272_4_sample_0.wav,0,vits,p272,vits-p272,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p272_4_sample_1.wav,1,vits,p272,vits-p272,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p272_4_sample_2.wav,2,vits,p272,vits-p272,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p272_5_sample_0.wav,0,vits,p272,vits-p272,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p272_5_sample_1.wav,1,vits,p272,vits-p272,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p272_5_sample_2.wav,2,vits,p272,vits-p272,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p272_6_sample_0.wav,0,vits,p272,vits-p272,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p272_6_sample_1.wav,1,vits,p272,vits-p272,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p272_6_sample_2.wav,2,vits,p272,vits-p272,1225,"Tom, it's time for you to go to bed.",6,dailydialog
